TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	5.900784926704985	0.0318367474192873	0	True
1.5	2	0	3.630522885879195	0.9681632525807127	0	True
2.0	3	1	2.0992150732950154	0.009226241089977426	0	False
2.0	4	1	2.0992150732950154	0.02261050632930987	0	True
2.0	5	2	4.369477114120805	0.9681632525807127	0	False
3.0	6	4	7	0.007140969317143582	1	False
3.0	7	4	7	0.015469537012166287	1	True
3.0	8	3	7	0.008078574568712154	1	False
3.0	9	3	7	0.001147666521265272	1	True
3.0	10	5	7	0.23836533530462115	1	False
3.0	11	5	7	0.7297979172760916	1	True
