TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	3.9267240230148315	0.7696271864714685	0	True
1.5	2	0	4.526604820992638	0.23037281352853145	0	True
2.0	3	1	3.0732759769851685	0.7639864556047425	-1	True
2.0	4	1	3.0732759769851685	0.005640730866725987	0	True
2.0	5	2	2.473395179007362	0.04111524852081273	0	False
2.0	6	2	2.473395179007362	0.1892575650077187	0	True
3.0	7	4	8	0.002453982502090826	0	False
3.0	8	4	8	0.43641483636522777	-1	True
3.0	9	6	8	0.041245834446944754	-1	True
3.0	10	6	8	0.06686447124996203	-1	True
3.0	11	5	8	0.016606039070546787	0	False
3.0	12	5	8	0.43641483636522777	0	True
3.5	13	7	4.149120989320354	0.0010142234844689405	0	False
3.5	14	7	0.6851422606621209	0.07220482953794474	0	True
4.0	15	12	6	0.47067405968906717	-1	True
3.5	16	11	4.68566623634435	0.019538124214545045	0	False
3.5	17	11	4.649801192181057	0.009532356149517474	0	True
4.0	18	14	5.314857739337879	0.040204315425928255	-1	True
4.0	19	14	5.314857739337879	0.004279379276329705	0	True
4.0	20	13	1.8508790106796464	0.0006248391988692011	0	False
4.0	21	17	1.350198807818943	0.0014351833796693743	0	False
4.0	22	17	1.350198807818943	0.004437476710546475	0	True
4.0	23	16	1.3143337636556502	0.0076706866305226735	0	False
4.0	24	16	1.3143337636556502	0.47067405968906717	0	True
5.0	25	19	4	0.0007194178341217109	1	False
5.0	26	19	4	0.07651776948169446	1	True
5.0	27	20	4	0.0005413199456065368	1	False
5.0	28	20	4	0.0006478882594252563	1	True
5.0	29	22	4	0.008445506817385224	1	False
5.0	30	21	4	0.001991108719671467	1	False
5.0	31	21	4	0.0007403650001540921	1	True
5.0	32	24	4	0.8824704145086781	1	False
5.0	33	24	4	0.01332718380274272	1	True
5.0	34	23	4	0.014599025630520306	1	False
