TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	5.159728261486	0.485761972021611	0	True
1.5	2	0	1.690762862649332	0.514238027978389	0	True
2.0	3	1	2.8402717385139997	0.43856936641310956	0	True
2.0	4	1	2.8402717385139997	0.047192605608501415	0	True
2.0	5	2	6.309237137350668	0.09610667939862094	0	True
2.0	6	2	6.309237137350668	0.4181313485797681	0	True
2.5	7	4	2.5077246455043323	0.04644377405688781	0	True
2.5	8	4	4.311501082081068	0.0007488315516136053	0	True
2.5	9	3	2.8566662898524404	0.10839740194180682	0	False
2.5	10	3	4.6243586805961465	0.33017196447130276	0	True
3.0	11	6	7	0.30570212887357795	1	False
3.0	12	6	7	0.13046577869761425	1	True
2.5	13	5	4.609424892432431	0.09114788501066967	0	False
2.5	14	5	4.340083340706151	0.0049587943879512665	-1	True
3.0	15	8	2.688498917918932	0.000781133230263614	1	False
3.0	16	7	4.492275354495668	0.03459650115816284	1	False
3.0	17	7	4.492275354495668	0.013850676550249125	1	True
3.0	18	10	2.3756413194038535	0.18555096677211863	1	False
3.0	19	10	2.3756413194038535	0.15886333120210958	1	True
3.0	20	9	4.14333371014756	0.06993713601961259	1	False
3.0	21	9	4.14333371014756	0.00517269747799323	1	True
3.0	22	13	2.390575107567569	0.03531162678562633	1	True
3.0	23	13	2.390575107567569	0.05976802323267192	1	True
