TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	4.715201708802026	0.6322326780675865	0	True
1.5	2	0	3.767409502257352	0.36776732193241346	0	True
2.0	3	1	3.2847982911979736	0.37677610844962967	-1	True
2.0	4	1	3.2847982911979736	0.2554565696179569	0	True
2.0	5	2	4.232590497742648	0.32881845951540295	0	False
2.0	6	2	4.232590497742648	0.03894886241701049	0	True
3.0	7	4	7	0.2165286886780353	1	False
3.0	8	4	7	0.3964755576586679	1	True
3.0	9	6	7	0.019686409249366002	1	False
3.0	10	6	7	0.02129886449980381	1	True
3.0	11	5	7	0.3460104799141269	1	False
