0	2		subclone	9,10	
1	3	0	subclone	9,10	0
2	2		subclone	9,10,26,27,28,29,30,31,32,33,34,35,36,37,38	
3	3	2,8	subclone	9,10,26,27,28,29,30,31,32,33,34,35,36,37,38	0,5
4	2		subclone	9,10,15,26,27,28,30,31,32,33,34,36,37,38,40,44,46	
5	3	8	subclone	9,10,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47	14
6	3	8	subclone	9,10,23,26,27,28,31,32,33,36,38,41,43,45,46	5
7	3	9	subclone	9,10,48,49,50,51,52,53,54,55,56,57,58	1
8	2.5	0	unobserved subclone	9,10,26,27,28,31,32,33,36,38	8
9	2.5	0	unobserved subclone	9,10,48,49,50,51,52,54,55,56,57,58	10
