1	0;1;2;3;4
2	5
3	0;1;2;3;4
4	6;7;8;9;10;11
5	5
6	12;13;14;15;16;17;18;19;20;21;22
7	6;7;8;9;10;11
8	0;1;2;3;4
9	23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
10	5
11	39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57
12	58;59;60;61;62;63;64;65;66
13	23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
14	67;68;69;70;71;72;73
15	0;1;2;3;4
16	74
17	39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57
18	75;76;77;78;79;80;81;82;83;84;85;86
19	5
20	75;76;77;78;79;80;81;82;83;84;85;86
21	39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57
22	87;88;89;90;91;92
23	5
24	93;94;95;96
