TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	4.6532477298448525	0.6140878472130179	0	True
1.5	2	0	6.597675460545343	0.3859121527869821	0	True
2.0	3	1	3.3467522701551475	0.33118165547507233	0	False
2.0	4	1	3.3467522701551475	0.2829061917379457	0	True
2.0	5	2	1.402324539454657	0.2738160719990754	0	False
2.0	6	2	1.402324539454657	0.11209608078790673	0	True
3.0	7	4	7	0.2829061917379456	1	False
3.0	8	3	7	0.309255133026343	1	False
3.0	9	3	7	0.021926522448729283	1	True
3.0	10	6	7	0.031140182773409235	1	False
3.0	11	6	7	0.08095589801449747	1	True
3.0	12	5	7	0.10066503989832173	1	False
3.0	13	5	7	0.17315103210075364	1	True
