TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	1.8850736558106873	0.2842500896935009	0	True
1.5	2	0	2.6521695566875145	0.715749910306499	0	True
2.0	3	1	6.114926344189312	0.2842500896935009	0	False
2.0	4	2	5.3478304433124855	0.39003204457060275	0	False
2.0	5	2	5.3478304433124855	0.3257178657358963	-1	True
3.0	6	3	7	0.5666161428982863	1	False
2.5	7	4	4.977409818145876	0.24912962108264672	0	False
2.5	8	4	5.936612394959253	0.14090242348795604	-1	True
3.0	9	7	2.022590181854124	0.11293144400282427	1	False
3.0	10	7	2.022590181854124	0.3204524130988895	1	True
