TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	4.556032726536636	0.9301133961850823	0	True
1.5	2	0	3.983487436404693	0.06988660381491774	0	True
2.0	3	1	3.4439672734633637	0.6748343517916413	0	False
2.0	4	1	3.4439672734633637	0.255279044393441	0	True
2.0	5	2	4.016512563595307	0.02996361362415767	0	False
2.0	6	2	4.016512563595307	0.039922990190760066	0	True
3.0	7	4	7	0.08336852281282477	1	False
3.0	8	4	7	0.17191052158061626	1	True
3.0	9	3	7	0.6748343517916413	1	False
3.0	10	6	7	0.039922990190760066	1	False
3.0	11	5	7	0.02208738740342586	1	False
3.0	12	5	7	0.007876226220731811	1	True
