TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	3.7131987055128866	0.6510883641601354	0	True
1.5	2	0	5.271757492005131	0.3489116358398646	0	True
2.0	3	1	3.2868012944871134	0.6510883641601354	0	False
2.0	4	2	1.7282425079948691	0.3231337784206235	-1	True
2.0	5	2	1.7282425079948691	0.025777857419241115	0	True
3.0	6	3	8	0.6683161218604338	0	False
3.0	7	5	8	0.3316838781395662	0	False
3.5	8	6	3.3277997231132552	0.3282778432507863	-1	True
3.5	9	6	3.878478463359147	0.3228105209093491	0	True
3.5	10	7	1.9973547534124108	0.21753787733766777	0	False
3.5	11	7	3.116416776795032	0.10559590108295576	0	True
4.0	12	9	2.121521536640853	0.21348152970772868	0	False
4.0	13	9	2.121521536640853	0.39636472318680255	0	True
4.0	14	11	2.883583223204968	0.07979117282609592	0	False
4.0	15	11	2.883583223204968	0.04770597924466447	0	True
4.0	16	10	4.002645246587589	0.21020688446681626	0	False
4.0	17	10	4.002645246587589	0.05244971056789224	-1	True
4.5	18	13	2.4035266227368908	0.23499707224280056	1	False
4.5	19	13	3.3565349678386753	0.09328077100798572	1	True
4.5	20	12	0.754898541797741	0.07914591432058643	1	False
4.5	21	12	1.2264779709431188	0.09766410949503773	1	True
5.0	22	15	4	0.140681267740028	1	False
5.0	23	15	4	0.044288099658535314	1	True
4.5	24	14	0.9991919222166946	0.03484484683805082	1	False
4.5	25	14	3.6828269415863697	0.04343998559185838	1	True
5.0	26	16	4	0.26267603162089576	1	False
5.0	27	16	4	0.5523546009805408	1	True
