1	0;1;2;3;4;5;6;7;8;9
2	10
3	11;12;13;14;15;16;17
4	18;19;20;21;22
5	23;24;25;26;27;28;29;30;31;32
6	33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
7	48;49;50;51
8	52;53;54;55;56;57
9	11;12;13;14;15;16;17
10	58;59;60;61
11	33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
12	62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79
13	23;24;25;26;27;28;29;30;31;32
14	80;81;82;83;84;85;86
15	52;53;54;55;56;57
16	48;49;50;51
17	87;88;89;90
18	58;59;60;61
19	91;92;93;94;95;96
20	11;12;13;14;15;16;17
21	97;98;99;100
22	101;102;103;104
23	105;106;107;108
