TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	6.5275519215935525	0.6177595554101658	0	True
1.5	2	0	5.683817902078376	0.3822404445898342	0	True
2.0	3	1	1.4724480784064475	0.41826365398782256	0	False
2.0	4	1	1.4724480784064475	0.19949590142234325	0	True
2.0	5	2	2.316182097921624	0.33068955309393233	0	False
2.0	6	2	2.316182097921624	0.05155089149590185	-1	True
3.0	7	4	7	0.11451751730901134	1	False
3.0	8	4	7	0.22841429843517327	1	True
3.0	9	3	7	0.08861555900587093	1	False
3.0	10	5	7	0.5684526252499446	1	False
