TP	ID	PID	EL	Perc	Leaf	Mut
1	0	-1	0	1	0	True
1.5	1	0	2.076680407920521	0.13760120830183503	0	True
1.5	2	0	6.888567925602683	0.862398791698165	0	True
2.0	3	1	5.923319592079479	0.1117255059959806	0	False
2.0	4	1	5.923319592079479	0.025875702305854426	0	True
2.0	5	2	1.1114320743973174	0.7861159218377185	0	False
2.0	6	2	1.1114320743973174	0.07628286986044652	0	True
3.0	7	4	7	0.025875702305854426	1	False
3.0	8	3	7	0.05119048396988851	1	False
3.0	9	3	7	0.060535022026092095	1	True
3.0	10	6	7	0.06024817797220624	1	False
3.0	11	6	7	0.016034691888240284	1	True
3.0	12	5	7	0.28132186720160374	1	False
3.0	13	5	7	0.5047940546361147	1	True
